"* Required Fields","* Campos Obrigatórios"
"Invalid option id specified for %s (%s), skipping the record","ID de opção inválido informado para %s (%s), ignorando o registro"
"Wrong region id by selected country","ID de região Errado por país selecionado"
"Product ID","ID do Produto"
"Newsletter Start","Início do Newsletter"
"Shipping Information","Informação de Envio"
"Customer Information","Informações de Clientes"
"Billing Information","Informações de Cobrança"
"Account Information","Informações de Conta"
"Contact Information","Informações de Contato"
"Address Information","Informações de Endereço"
"Group Information","Informações de Grupo"
"Login Information","Informações de Login"
"Newsletter Information","Informações de Newsletter"
"Personal Information","Informações Pessoais"
"Subscribe","Inscrever"
"Go to Address Book","Ir para Lista de Endereços"
"Items Order","Itens do Pedido"
"Subscribed to Newsletter?","Já assina nossa Newsletter?"
"Last Name","Último Nome"
"Wishlist","Lista de Desejos"
"Wishlist - %d item(s)","Lista de Desejos - %d item(s)"
"Address Book","Lista de Endereços"
"Order List...","Lista de Pedido..."
"Customer Login","Login de Cliente"
"Store","Loja"
"Invalid store specified, skipping the record","Loja Inválida especificada, ignorando o registro"
"Average Sale","Média de Vendas"
"Shipping Method","Método de Envio"
"Payment Method","Método de Pagamento"
"My Dashboard","Meu Painel"
"My Orders","Meus pedidos"
"My Tags","Meus Tags"
"My Account","Minha Conta"
"My Wishlist","Minha Lista de Desejos"
"My Reviews","Minhas Revisões"
"Email Template","Modelo de Email"
"n/a","n/a"
"Not Sent","Não Enviado"
"There are no items in customer's shopping cart at the moment","Não há itens no carrinho de compras do cliente no momento"
"There are no items in customer's wishlist at the moment","Não há itens no itens na Lista de Desejos do cliente no momento"
"Unsubscribe from newsletter","Não receber newsletter"
"No Items Found","Nenhum Item foi encontrado"
"No Newsletter Found","Nenhum Newsletter foi Encontrado"
"No product collections found","Nenhuma coleção de produto foi encontrado"
"Newsletter","Newsletter"
"Newsletter Received","Newsletter Recebida"
"Newsletter Subscription","Inscrição de Newsletter"
"Newsletters","Newsletters"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","No seu Painel Minha Conta você pode ver uma fotografia das atividades recentes da sua conta e atualizar as suas informações. Selecione o link abaixo para ver ou editar as suas informações."
"Name","Nome"
"Tag Name","Nome da Tag"
"Group Name","Nome do Grupo"
"Product name","Nome do Produto"
"Product Name","Nome do Produto"
"New account","Nova Conta"
"New Address Entry","Nova entrada de endereço"
"New passowrd","Nova senha"
"New Password","Nova Senha"
"New Customer","Novo Cliente"
"New Address","Novo Endereço"
"New Customer Address","Novo Endereço de Cliente"
"New Group","Novo Grupo"
"New Customer Group","Novo Grupo de Clientes"
"New Customers","Novos clientes"
"New Customer Groups","Novos Grupos de Clientes"
"Never","Nunca"
"The address was successfully saved","O endereço foi gravado com sucesso"
"The address was successfully deleted","O endereço foi removido com sucesso"
"The address does not belong to this customer","O endereço não pertence a este cliente"
"Your account balance is: %s","O resultado da sua conta é: <strong>%s</strong>"
"Thank you for registering with %s","Obrigado por registrar-se com %s"
"There was an error while deleting the address","Ocorreu um erro ao remover o endereço"
"Offline","Offline"
"Hello, %s!","Olá, %s!"
"Online","Online"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opção de atributo inválido informado para o atributo %s (%s), pulando o registro"
"Account Sharing Options","Opções da Conta para Compartilhamento"
"Create New Account Options","Opções de Criação de Nova Conta"
"Password Options","Opções de Senha"
"or","ou"
"Country","País"
"Account Dashboard","Painel da Conta"
"To Cart","Para o Carrinho de Compras"
"Paused","Parado"
"Pasword fields can't be empty.","O campo de senha não pode estra vazio."
"PDF","PDF"
"Orders","Pedido"
"Order #","Pedido #"
"Order #%s (%s)","Pedido #%s (%s)"
"Recent Orders","Pedidos Recentes"
"Pending","Pendente"
"Please enter your email below and we'll send you a new password.","Por favor insira seu email abaixo e lhe enviaremos uma nova senha."
"Please enter your email.","Por favor insira o seu email."
"Please enter your email below and we'll send you a new password.","Por favor insira seu email abaixo e lhe enviaremos uma nova senha."
"Please select","Por favor selecione"
"Please select region, state or province","Por favor selecione uma região, estado ou província"
"Please make sure your passwords match.","Por favor, assegure-se que as senhas são idênticas."
"Per Website","Por Website"
"Price","Preço"
"Ext. Price","Preço Extendido"
"Need to Confirm","Precisa Confirmar"
"First Name","Primeiro Nome"
"Problem saving the collection, aborting. Error: %s","Problema ao salvar a coleção, abortando: %s"
"Product","Produto"
"Skip import row, website ""%s"" field not exists","Pular importação da linha, campo ""%s"" do website não existe"
"Skip import row, required field ""%s"" not defined","Pular importação da linha, campo obrigatório ""%s"" não encontrado"
"Qty","Qtd"
"Amount","Quantia"
"Retrieve your password here","Recuperar sua senha aqui"
"Refunded","Reembolsado"
"Records for ""","Registros para """
"Email Sender","Remetente de Email"
"Remove","Remover"
"Product Reviews","Revisões do Produto"
"If you have an account with us, please log in.","Se você tem uma conta conosco, por favor conecte com a mesma."
"Password","Senha"
"Current Password","Senha Atual"
"Invalid current password","Senha Atual Inválida"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Senha deve ter pelo menos 6 caracteres. Espaços antes ou depois serão ignorados."
"SKU","SKU"
"Status","Status"
"Product Tags","Tags dos Produtos"
"Telephone","Telefone"
"Lifetime Sales","Tempo de Vida das Vendas"
"Text","Texto"
"There are no items in customer's shopping cart at the moment","Não há itens no carrinho de compras do cliente no momento"
"Type","Tipo"
"All Store Views","Todas Visões da Loja"
"All","Todos"
"All countries","Todos Países"
"Total","Total"
"Order Total","Total do Pedido"
"Change Password","Trocar Senha"
"Text One Line","Uma Linha de Texto"
"A new password was sent","Uma nova senha foi enviada"
"Use as my default shipping address","Usar como endereço de envio padrão"
"Use as my default billing address","Usar como meu endereço de cobrança padrão"
"Use as My Primary %s Address","Usar Meu endereço %s Primário"
"Login and password are required","Usuário e Senha são obrigatórios"
"Invalid login or password","Usuário ou Senha Inválido"
"View Order List","Ver Lista de Pedidos"
"View Order","Ver Pedido"
"Store View","Visão da Loja"
"Customer View","Visão de Cliente"
"Visible In","Visível Em"
"Visitor","Visitante"
"Guest","Visitante"
"View","Visualizar"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Você desconectou com sucesso e será redirecionado para a página principal em 5 segundos."
"You're now Logged Out","Você está desconectado agora"
"You are currently subscribed to 'General Subscription'.","Você está inscrito em 'Inscrição Geral'."
"You are currently subscribed to our newsletter","Você está inscrito em nossa newsletter"
"You are currently subscribed to our newsletter.","Você está inscrito em nossa newsletter."
"You have not set a primary shipping address.","Você não definiu um endereço primário de envio."
"You have not set a primary billing address.","Você não definiu endereço primário de cobrança ainda."
"You are currently not subscribed to any newsletter.","Você não está inscrito em nenhuma newsletter atualmente."
"You have placed no orders yet.","Você não fez pedido ainda."
"You have no default billing address in your address book.","Você não possui endereço de cobrança padrão no seu livro de endereços."
"You have no default shipping address in your address book.","Você não possui endereço de envio padrão no seu livro de endereços."
"You have no additional entries in your address book.","Você não possui entradas adicionais no seu livro de endereços."
"You have no additional address entries in your address book.","Você não possui entradas de endereços adicionais no seu livro de endereços."
"You have no primary entries in your address book.","Você não possui entradas primárias no seu livro de endereços."
"You have placed no products yet.","Você não solicitou produtos ainda."
"Are you sure you want to cancel adding of this address?","Você tem certeza que deseja cancelar a inserção deste endereço?"
"Are you sure you want to delete this address?","Você tem certeza que deseja remover este endereço?"
"Are you sure that you want to remove this item?","Você tem certeza que deseja remover este item?"
"Are you sure the you want to remove this item?","Você tem certeza que deseja remover este item?"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Back to Login","Voltar para Conectar"
"Website","Website"
"XML","XML"
"ZIP","ZIP"
