"Skip Secure URL validation before next step","Pular validação de URL segura antes do próximo passo"
"Report All Bugs","Reportar Todos Bugs"
"Run admin interface with SSL","Rodar interface admin com SSL"
"Run this in your shell from Magento root folder:","Rode isto no seu shell na pasta raiz do Magento:"
"If your server is running on MS Windows, most probably you will not need to change anything.","Se o seu servidor está rodando em MS Windows, você provavelmente não precisará alterar nada."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Se você baixou o pacote complete ou instalou o Magento através de SVN, você deve pular a instalação e validação de pacotes ao clicar no botão abaixo."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Se você deseja gerenciar os pacotes do Magento através da interface web de admin, você precisará ter permissões de escrita web aplicadas a todos os diretórios e arquivos do Magento."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","Se você está rodando o assistente de instalação com alguma instalação baixada anteriormente do Magento, continue com este método."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Se você está rodando PHP como CGI, os seus processos PHP podem rodar com o mesmo usuário que você usou para carregar os arquivos do Magento."
"If you are a developer and would like to have the latest public updates, choose this option.","Se você for um desenvolvedor e gostaria de ter as últimas atualizações públicas, escolha esta opção."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Se você não deseja ou não consegue configurar os diretórios do Magento com permissão de escrita para o processo web, você pode usar executável PEAR localizado na raiz da instalação do Magento."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Selecione esta caixa de Seleção se não for possível validar automaticamente URL Segura, por exemplo se autenticação HTTP é obrigatória."
"Password","Senha"
"User Password","Senha de Usuário"
"Database user password","Senha do usuário do Banco de Dados"
"Having trouble installing Magento?","Tendo problemas ao instalar o Magento?"
"All packages were installed successfully, click 'Ok' to continue with installation","Todos pacotes foram instalados com sucesso, clique 'Ok' para continuar com a instalação"
"One from PHP Extensions ""%s"" must be loaded","Uma das extensões PHP ""%s"" deve ser carregada"
"Url ""%s"" is invalid","URL ""%s"" é inválida"
"Url ""%s"" is not accessible","URL ""%s"" não é acessível"
"Secure Base URL","URL Base Segura"
"Use Secure URLs (SSL)","Usar URLs Seguras (SSL)"
"Use Web Server (Apache) Rewrites","Usar Web Server (Apache) Rewrites"
"You're All Set","Você está pronto"
"You can specify server port, ex.: localhost:3307<br/>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Você pode especificar uma porta de servidor, ex.: localhost:3307<br/>Se você não está usando socket padrão UNIX, você pode especificar aqui ao invest do host, ex.: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","Você pode habilitar esta opção para usar a funcionalidade web server rewrites para otimização de mecanismos de busca com melhor performance."
